"","Size","Phylum","Class","Order","Family","Genus"
"Otu1722","51","Fusobacteria","Fusobacteria","Fusobacteriales","Fusobacteriales_unclassified","Fusobacteriales_unclassified"
"Otu1723","50","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1724","50","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1725","50","Verrucomicrobia","Spartobacteria","Spartobacteria_order_incertae_sedis","Spartobacteria_family_incertae_sedis","Spartobacteria_genera_incertae_sedis"
"Otu1726","50","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu1727","50","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1728","50","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"Otu1729","50","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified","Alphaproteobacteria_unclassified"
"Otu1730","50","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1731","50","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1732","50","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Atopostipes"
"Otu1733","50","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1734","50","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"Otu1735","50","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu1736","49","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
